Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2022-10-12,S001,P0003,Groceries,East,245,242,95,257.27,22.73,10,Snowy,0,25.58,Spring
2022-10-12,S001,P0005,Groceries,West,344,297,34,306.39,45.85,0,Snowy,1,50.37,Autumn
2022-10-12,S001,P0006,Groceries,North,220,139,26,149.56,19.58,0,Cloudy,0,17.5,Summer
2022-10-12,S001,P0012,Groceries,East,173,12,138,4.61,96.21,15,Rainy,1,99.62,Winter
2022-10-12,S001,P0016,Groceries,South,263,198,21,210.65,54.09,0,Rainy,0,54.16,Summer
2022-10-12,S002,P0003,Groceries,North,130,52,154,53.85,68.79,20,Rainy,0,68.45,Autumn
2022-10-12,S002,P0004,Groceries,South,463,120,172,117.18,46.99,20,Snowy,1,49.22,Autumn
2022-10-12,S002,P0005,Groceries,North,223,32,63,26.82,63.33,15,Snowy,0,62.95,Autumn
2022-10-12,S002,P0007,Groceries,West,275,126,111,117.03,88.81,20,Snowy,0,85.74,Summer
2022-10-12,S002,P0012,Groceries,West,284,34,171,30.68,37.79,15,Sunny,1,34.59,Spring
2022-10-12,S003,P0003,Groceries,East,461,380,21,375.69,84.22,5,Sunny,1,87.29,Spring
2022-10-12,S003,P0014,Groceries,South,113,11,112,30.14,22.92,0,Rainy,1,25.32,Spring
2022-10-12,S004,P0001,Groceries,East,106,44,139,46.41,62.17,5,Snowy,0,60.73,Summer
2022-10-12,S004,P0011,Groceries,West,317,290,73,306.18,22.03,10,Snowy,0,24.54,Winter
2022-10-12,S005,P0010,Groceries,West,166,61,39,59.44,93.62,20,Cloudy,0,92.24,Autumn
2022-10-12,S005,P0014,Groceries,East,451,341,166,358.34,70.6,0,Rainy,1,67.45,Autumn
2022-10-12,S005,P0017,Groceries,North,423,64,22,77.25,24.58,10,Rainy,1,22.36,Summer
2022-10-12,S005,P0020,Groceries,East,65,12,185,5.53,56.1,15,Cloudy,0,54.8,Summer
